competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202401,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,190,179861,0.1056,443,48185.40,0
202401,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,6692,179861,3.7207,19658,5059852.31,4
202401,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,21547,179861,11.9798,58016,14512525.64,6
202401,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,949,179861,0.5276,3732,393964.79,1
202401,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,218,179861,0.1212,1069,89335.66,1
202401,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,10,179861,0.0056,42,3993.96,0
202401,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,14335,179861,7.97,23772,3902314.11,4
202401,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4804,179861,2.671,18002,2840121.80,1
202401,BR,Brasil,hemorragias,hemorragia_pos_parto,224,179861,0.1245,583,128798.90,3
202401,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3467,179861,1.9276,7470,1062783.77,1
202401,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,3013,179861,1.6752,11703,626593.59,0
202401,BR,Brasil,infeccoes,infeccao_puerperal,1266,179861,0.7039,6619,509271.38,2
202401,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,105,179861,0.0584,449,56231.73,0
202401,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5359,179861,2.9795,20998,1963611.52,4
202401,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,45,179861,0.025,140,17129.42,0
202401,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1216,179861,0.6761,4055,338065.11,0
202401,BR,Brasil,transtornos_hipertensivos,eclampsia,515,179861,0.2863,1992,418531.16,3
202401,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2358,179861,1.311,8061,1483836.22,3
202401,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2605,179861,1.4483,9041,2028222.45,2
202401,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,4756,179861,2.6443,20212,4060281.94,3
202402,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,161,174392,0.0923,424,56346.47,1
202402,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,6126,174392,3.5128,17914,4586186.07,5
202402,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,21330,174392,12.2311,58810,14300477.26,11
202402,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,936,174392,0.5367,3937,401616.49,0
202402,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,244,174392,0.1399,1198,94771.44,0
202402,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,11,174392,0.0063,73,12891.95,1
202402,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,13706,174392,7.8593,23001,3683622.15,7
202402,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4669,174392,2.6773,18423,2814585.69,3
202402,BR,Brasil,hemorragias,hemorragia_pos_parto,216,174392,0.1239,574,124542.23,1
202402,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3343,174392,1.9169,7384,1060073.58,1
202402,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,3004,174392,1.7226,11903,612838.10,1
202402,BR,Brasil,infeccoes,infeccao_puerperal,1324,174392,0.7592,6857,558258.37,2
202402,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,128,174392,0.0734,571,60935.81,0
202402,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5373,174392,3.081,19994,2014606.88,5
202402,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,43,174392,0.0247,143,12399.65,0
202402,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1193,174392,0.6841,3984,294135.89,2
202402,BR,Brasil,transtornos_hipertensivos,eclampsia,539,174392,0.3091,2435,494105.28,2
202402,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2347,174392,1.3458,8124,1520806.32,2
202402,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2491,174392,1.4284,8827,1967247.38,3
202402,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,4632,174392,2.6561,19696,4004719.96,4
202403,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,164,187577,0.0874,430,40643.97,0
202403,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,6841,187577,3.647,20462,5164089.94,17
202403,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,22694,187577,12.0985,62509,15302171.94,26
202403,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,1009,187577,0.5379,4106,410754.01,4
202403,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,264,187577,0.1407,1413,108401.22,0
202403,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,6,187577,0.0032,10,3375.33,0
202403,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,14006,187577,7.4668,23954,3790425.63,3
202403,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,5077,187577,2.7066,19936,3028583.88,2
