competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202401,AC,Acre,complicacoes_gestacao,liquido_membranas_ou_placenta,12,980,1.2245,33,10796.33,0
202401,AC,Acre,complicacoes_parto,trabalho_de_parto_ou_parto,121,980,12.3469,419,96807.77,0
202401,AC,Acre,complicacoes_puerperais,outras_complicacoes_puerperais,3,980,0.3061,15,537.10,0
202401,AC,Acre,complicacoes_vasculares,complicacoes_venosas,1,980,0.102,4,165.44,0
202401,AC,Acre,desfecho_abortivo,gestacao_com_desfecho_abortivo,89,980,9.0816,116,18757.24,0
202401,AC,Acre,disturbios_metabolicos,diabetes_na_gestacao,18,980,1.8367,70,18624.01,0
202401,AC,Acre,hemorragias,outras_hemorragias_obstetricas,14,980,1.4286,26,1921.74,0
202401,AC,Acre,infeccoes,infeccao_geniturinaria_gestacao,19,980,1.9388,57,2564.31,0
202401,AC,Acre,infeccoes,infeccao_puerperal,12,980,1.2245,54,2412.65,0
202401,AC,Acre,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,42,980,4.2857,164,8093.71,0
202401,AC,Acre,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,1,980,0.102,0,123.99,0
202401,AC,Acre,outras_condicoes_maternas,outras_condicoes_da_gestacao,7,980,0.7143,20,992.28,0
202401,AC,Acre,transtornos_hipertensivos,hipertensao_gestacional,5,980,0.5102,24,2177.00,0
202401,AC,Acre,transtornos_hipertensivos,outros_hipertensivos,1,980,0.102,2,706.81,0
202401,AC,Acre,transtornos_hipertensivos,pre_eclampsia,34,980,3.4694,108,27789.04,0
202401,AL,Alagoas,complicacoes_anestesicas,anestesia_obstetrica,1,3862,0.0259,4,187.30,0
202401,AL,Alagoas,complicacoes_gestacao,liquido_membranas_ou_placenta,262,3862,6.784,612,194450.83,0
202401,AL,Alagoas,complicacoes_parto,trabalho_de_parto_ou_parto,360,3862,9.3216,1155,303434.72,0
202401,AL,Alagoas,complicacoes_puerperais,outras_complicacoes_puerperais,55,3862,1.4241,138,8717.60,0
202401,AL,Alagoas,complicacoes_vasculares,complicacoes_venosas,22,3862,0.5697,73,3628.06,0
202401,AL,Alagoas,desfecho_abortivo,gestacao_com_desfecho_abortivo,266,3862,6.8876,510,72842.40,1
202401,AL,Alagoas,disturbios_metabolicos,diabetes_na_gestacao,57,3862,1.4759,294,42735.47,0
202401,AL,Alagoas,hemorragias,hemorragia_pos_parto,1,3862,0.0259,7,2303.90,0
202401,AL,Alagoas,hemorragias,outras_hemorragias_obstetricas,29,3862,0.7509,93,26326.01,0
202401,AL,Alagoas,infeccoes,infeccao_geniturinaria_gestacao,71,3862,1.8384,439,32817.97,0
202401,AL,Alagoas,infeccoes,infeccao_puerperal,29,3862,0.7509,164,6613.61,0
202401,AL,Alagoas,outras_condicoes_maternas,anemia_complicando_gestacao,2,3862,0.0518,7,303.38,0
202401,AL,Alagoas,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,88,3862,2.2786,492,44890.85,0
202401,AL,Alagoas,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,1,3862,0.0259,3,133.24,0
202401,AL,Alagoas,outras_condicoes_maternas,outras_condicoes_da_gestacao,17,3862,0.4402,118,4974.18,0
202401,AL,Alagoas,transtornos_hipertensivos,eclampsia,4,3862,0.1036,7,3335.52,0
202401,AL,Alagoas,transtornos_hipertensivos,hipertensao_gestacional,33,3862,0.8545,120,19301.59,0
202401,AL,Alagoas,transtornos_hipertensivos,outros_hipertensivos,57,3862,1.4759,174,50867.18,0
202401,AL,Alagoas,transtornos_hipertensivos,pre_eclampsia,131,3862,3.392,812,129314.21,0
202401,AM,Amazonas,complicacoes_anestesicas,anestesia_obstetrica,2,4590,0.0436,9,414.66,0
202401,AM,Amazonas,complicacoes_gestacao,liquido_membranas_ou_placenta,98,4590,2.1351,384,94001.94,0
202401,AM,Amazonas,complicacoes_parto,trabalho_de_parto_ou_parto,460,4590,10.0218,1305,385008.39,0
202401,AM,Amazonas,complicacoes_puerperais,outras_complicacoes_puerperais,29,4590,0.6318,103,5758.48,0
202401,AM,Amazonas,complicacoes_vasculares,complicacoes_venosas,3,4590,0.0654,11,514.33,0
202401,AM,Amazonas,desfecho_abortivo,gestacao_com_desfecho_abortivo,313,4590,6.8192,564,77677.27,0
202401,AM,Amazonas,disturbios_metabolicos,diabetes_na_gestacao,10,4590,0.2179,66,8676.69,0
202401,AM,Amazonas,hemorragias,hemorragia_pos_parto,2,4590,0.0436,6,405.44,0
202401,AM,Amazonas,hemorragias,outras_hemorragias_obstetricas,76,4590,1.6558,208,17826.55,0
202401,AM,Amazonas,infeccoes,infeccao_geniturinaria_gestacao,158,4590,3.4423,546,22301.31,0
202401,AM,Amazonas,infeccoes,infeccao_puerperal,39,4590,0.8497,197,9371.41,0
202401,AM,Amazonas,outras_condicoes_maternas,anemia_complicando_gestacao,1,4590,0.0218,2,125.24,0
202401,AM,Amazonas,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,47,4590,1.024,196,14450.29,0
202401,AM,Amazonas,outras_condicoes_maternas,outras_condicoes_da_gestacao,12,4590,0.2614,37,2531.72,0
202401,AM,Amazonas,transtornos_hipertensivos,eclampsia,11,4590,0.2397,41,10208.75,0
202401,AM,Amazonas,transtornos_hipertensivos,hipertensao_gestacional,28,4590,0.61,133,21147.36,0
202401,AM,Amazonas,transtornos_hipertensivos,outros_hipertensivos,16,4590,0.3486,40,10211.49,0
202401,AM,Amazonas,transtornos_hipertensivos,pre_eclampsia,88,4590,1.9172,276,59574.44,0
202401,AP,Amapá,complicacoes_gestacao,liquido_membranas_ou_placenta,34,1294,2.6275,109,24860.91,0
202401,AP,Amapá,complicacoes_parto,trabalho_de_parto_ou_parto,163,1294,12.5966,573,121933.53,0
202401,AP,Amapá,complicacoes_puerperais,outras_complicacoes_puerperais,1,1294,0.0773,5,316.30,0
202401,AP,Amapá,desfecho_abortivo,gestacao_com_desfecho_abortivo,80,1294,6.1824,145,20670.16,0
202401,AP,Amapá,disturbios_metabolicos,diabetes_na_gestacao,27,1294,2.0866,101,15931.69,0
202401,AP,Amapá,hemorragias,hemorragia_pos_parto,2,1294,0.1546,2,682.74,0
202401,AP,Amapá,hemorragias,outras_hemorragias_obstetricas,11,1294,0.8501,23,2733.14,0
202401,AP,Amapá,infeccoes,infeccao_geniturinaria_gestacao,18,1294,1.391,89,2725.62,0
202401,AP,Amapá,infeccoes,infeccao_puerperal,15,1294,1.1592,72,3083.55,0
202401,AP,Amapá,outras_condicoes_maternas,anemia_complicando_gestacao,1,1294,0.0773,8,109.24,0
202401,AP,Amapá,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,29,1294,2.2411,151,6377.60,1
202401,AP,Amapá,outras_condicoes_maternas,outras_condicoes_da_gestacao,1,1294,0.0773,22,206.64,0
202401,AP,Amapá,transtornos_hipertensivos,eclampsia,1,1294,0.0773,1,109.24,0
202401,AP,Amapá,transtornos_hipertensivos,hipertensao_gestacional,46,1294,3.5549,203,29246.71,0
202401,AP,Amapá,transtornos_hipertensivos,outros_hipertensivos,27,1294,2.0866,158,17293.59,0
202401,AP,Amapá,transtornos_hipertensivos,pre_eclampsia,18,1294,1.391,105,13928.45,0
202401,BA,Bahia,complicacoes_anestesicas,anestesia_obstetrica,12,13280,0.0904,29,1967.69,0
202401,BA,Bahia,complicacoes_gestacao,liquido_membranas_ou_placenta,375,13280,2.8238,1106,276297.70,1
202401,BA,Bahia,complicacoes_parto,trabalho_de_parto_ou_parto,1151,13280,8.6672,3368,717949.59,0
202401,BA,Bahia,complicacoes_puerperais,outras_complicacoes_puerperais,94,13280,0.7078,394,55559.54,0
202401,BA,Bahia,complicacoes_vasculares,complicacoes_venosas,15,13280,0.113,135,7782.02,1
202401,BA,Bahia,complicacoes_vasculares,embolia_obstetrica,1,13280,0.0075,1,443.40,0
202401,BA,Bahia,desfecho_abortivo,gestacao_com_desfecho_abortivo,1366,13280,10.2861,2452,315405.47,0
202401,BA,Bahia,disturbios_metabolicos,diabetes_na_gestacao,240,13280,1.8072,1112,126396.11,0
202401,BA,Bahia,hemorragias,hemorragia_pos_parto,16,13280,0.1205,45,4974.00,0
202401,BA,Bahia,hemorragias,outras_hemorragias_obstetricas,291,13280,2.1913,717,71548.99,0
202401,BA,Bahia,infeccoes,infeccao_geniturinaria_gestacao,225,13280,1.6943,847,40243.61,0
202401,BA,Bahia,infeccoes,infeccao_puerperal,101,13280,0.7605,576,37725.37,0
202401,BA,Bahia,outras_condicoes_maternas,anemia_complicando_gestacao,7,13280,0.0527,28,1438.39,0
202401,BA,Bahia,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,535,13280,4.0286,2220,182697.95,0
202401,BA,Bahia,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,4,13280,0.0301,14,1284.94,0
202401,BA,Bahia,outras_condicoes_maternas,outras_condicoes_da_gestacao,105,13280,0.7907,355,19249.78,0
202401,BA,Bahia,transtornos_hipertensivos,eclampsia,15,13280,0.113,68,13451.23,0
202401,BA,Bahia,transtornos_hipertensivos,hipertensao_gestacional,214,13280,1.6114,717,130486.37,1
