ano,codigo_territorio,territorio,nascidos_vivos,obitos_nao_fetais,obitos_causa_obstetrica_cid_o,obitos_maternos_tardios_sequelas,causas_indiretas_candidatas,obitos_infantis,obitos_neonatais,obitos_neonatais_precoces,obitos_pos_neonatais,razao_observada_causa_obstetrica_por_100mil_nv,taxa_observada_mortalidade_infantil_por_mil_nv,taxa_observada_mortalidade_neonatal_por_mil_nv
2024,AC,Acre,13101,4266,7,1,0,236,135,106,101,53.431,18.0139,10.3046
2024,AL,Alagoas,45435,22646,23,3,0,633,413,313,220,50.6218,13.932,9.0899
2024,AM,Amazonas,65941,20214,41,2,0,1065,706,567,359,62.1768,16.1508,10.7065
2024,AP,Amapá,12327,3903,9,2,0,220,132,108,88,73.0105,17.847,10.7082
2024,BA,Bahia,160000,106004,97,12,0,2408,1693,1272,715,60.625,15.05,10.5813
2024,CE,Ceará,105453,63493,54,8,0,1180,798,611,382,51.2076,11.1898,7.5674
2024,DF,Distrito Federal,33282,15878,15,3,0,349,228,172,121,45.0694,10.4861,6.8505
2024,ES,Espírito Santo,49934,28039,24,6,0,609,403,289,206,48.0634,12.1961,8.0707
2024,GO,Goiás,88862,47739,67,19,0,1096,733,537,363,75.3978,12.3337,8.2487
2024,MA,Maranhão,92173,40069,66,5,0,1291,862,645,429,71.6045,14.0063,9.352
2024,MG,Minas Gerais,219818,163482,125,15,0,2486,1714,1231,772,56.8652,11.3094,7.7974
2024,MS,Mato Grosso do Sul,37908,19839,17,3,0,488,301,221,187,44.8454,12.8733,7.9403
2024,MT,Mato Grosso,55310,22800,27,7,0,785,488,357,297,48.8158,14.1927,8.823
2024,PA,Pará,118566,45304,82,8,0,1808,1147,900,661,69.1598,15.2489,9.6739
2024,PB,Paraíba,49376,30135,27,3,0,608,407,302,201,54.6824,12.3137,8.2429
2024,PE,Pernambuco,110824,70607,50,9,0,1493,998,761,495,45.1166,13.4718,9.0053
2024,PI,Piauí,39696,23453,35,7,0,566,349,264,217,88.1701,14.2584,8.7918
2024,PR,Paraná,131026,89036,82,16,0,1397,959,715,438,62.583,10.662,7.3192
2024,RJ,Rio de Janeiro,163700,147385,100,40,0,2186,1427,1022,759,61.0874,13.3537,8.7172
2024,RN,Rio Grande do Norte,36612,23521,26,11,0,469,360,275,109,71.015,12.81,9.8328
2024,RO,Rondônia,21716,10078,7,0,0,295,193,132,102,32.2343,13.5845,8.8875
2024,RR,Roraima,12089,3054,16,1,0,231,140,109,91,132.3517,19.1083,11.5808
2024,RS,Rio Grande do Sul,111988,101477,53,11,0,1137,811,556,326,47.3265,10.1529,7.2418
2024,SC,Santa Catarina,93786,52207,44,10,0,972,679,510,293,46.9153,10.364,7.2399
2024,SE,Sergipe,27545,14452,15,3,0,385,259,195,126,54.4563,13.9771,9.4028
2024,SP,São Paulo,470883,351221,201,53,0,5310,3565,2597,1745,42.6858,11.2767,7.5709
2024,TO,Tocantins,21920,9423,16,0,0,311,208,161,103,72.9927,14.188,9.4891
