ano,codigo_territorio,territorio,nascidos_vivos,tipo_parto_informado,nascidos_vivos_parto_vaginal,nascidos_vivos_parto_cesareo,percentual_cesareas,gestacao_informada,nascidos_vivos_prematuros,percentual_prematuridade,peso_informado,nascidos_vivos_baixo_peso,percentual_baixo_peso,peso_medio_g,apgar5_informado,apgar5_menor_7,percentual_apgar5_menor_7,prenatal_informado,prenatal_7_mais,percentual_prenatal_7_mais,idade_mae_informada,nascidos_vivos_maes_adolescentes,nascidos_vivos_idade_materna_avancada,tipo_gravidez_informado,nascidos_vivos_gestacao_multipla
2024,AC,Acre,13101,13087,6363,6724,51.3792,12820,1989,15.5148,13034,1103,8.4625,3186.61,12558,89,0.7087,12738,7918,62.1605,13099,2646,1821,13080,246
2024,AL,Alagoas,45435,45432,19104,26328,57.9503,45361,5933,13.0795,45434,3680,8.0997,3209.49,45312,468,1.0328,45322,35353,78.0041,45435,7058,6119,45431,833
2024,AM,Amazonas,65941,65931,36344,29587,44.8757,65547,7995,12.1974,65925,5683,8.6204,3191.04,62330,468,0.7508,65178,43322,66.4672,65923,13281,8142,65920,1046
2024,AP,Amapá,12327,12324,6910,5414,43.9305,12304,1659,13.4834,12327,1105,8.9641,3154.44,12047,106,0.8799,12253,6844,55.8557,12327,2160,1909,12321,204
2024,BA,Bahia,160000,159915,75741,84174,52.6367,157541,18546,11.7722,159988,15736,9.8357,3147.17,158597,1959,1.2352,155230,119805,77.179,160000,20424,29467,159898,3517
2024,CE,Ceará,105453,105407,33460,71947,68.2564,103306,14708,14.2373,105452,9522,9.0297,3180.61,105074,1111,1.0574,101688,85886,84.4603,105453,12235,19029,105392,2081
2024,DF,Distrito Federal,33282,33282,13984,19298,57.9833,33269,4266,12.8227,33282,3617,10.8677,3101.9,33149,334,1.0076,33206,26187,78.8623,33282,2447,8514,33282,776
2024,ES,Espírito Santo,49934,49913,18770,31143,62.3946,49864,5358,10.7452,49933,4553,9.1182,3183.73,49640,330,0.6648,49774,38180,76.7067,49934,5191,10045,49923,1190
2024,GO,Goiás,88862,88854,27391,61463,69.173,88694,10888,12.2759,88862,9212,10.3666,3099.11,88568,888,1.0026,88183,69104,78.3643,88862,9778,14445,88856,2092
2024,MA,Maranhão,92173,91948,37514,54434,59.2009,90330,11377,12.5949,92148,7843,8.5113,3198.57,88468,986,1.1145,90577,62799,69.3322,92173,17523,11201,91844,1633
2024,MG,Minas Gerais,219818,219664,89275,130389,59.3584,218022,25924,11.8905,219809,23000,10.4636,3098.92,216939,2208,1.0178,216715,181924,83.9462,219818,20163,44340,219667,5853
2024,MS,Mato Grosso do Sul,37908,37903,12403,25500,67.277,37843,4970,13.1332,37907,3428,9.0432,3157.93,37737,322,0.8533,37806,30307,80.1645,37908,5031,5875,37898,905
2024,MT,Mato Grosso,55310,55300,18154,37146,67.1718,55057,6683,12.1383,55306,4567,8.2577,3169.66,54911,423,0.7703,54658,44321,81.0879,55310,7421,8066,55302,1184
2024,PA,Pará,118566,118472,49134,69338,58.5269,116583,14808,12.7017,118507,9912,8.3641,3176.87,116547,1206,1.0348,113359,74091,65.3596,118565,22431,13338,118493,1934
2024,PB,Paraíba,49376,49348,16423,32925,66.72,48574,6377,13.1284,49374,4036,8.1743,3193.98,49050,618,1.2599,47902,37531,78.3495,49376,6259,8689,49335,980
2024,PE,Pernambuco,110824,110722,50899,59823,54.0299,109491,13002,11.8749,110819,9702,8.7548,3178.3,110129,1156,1.0497,109122,88469,81.0735,110823,14793,17908,110724,2319
2024,PI,Piauí,39696,39688,13997,25691,64.7324,39456,5256,13.3212,39695,3470,8.7417,3175.7,38264,344,0.899,38538,30083,78.0606,39696,5415,6472,39692,786
2024,PR,Paraná,131026,130955,45443,85512,65.2988,130383,15283,11.7216,131025,12373,9.4432,3141.87,130677,1390,1.0637,129208,115084,89.0688,131026,11838,23788,130963,3154
2024,RJ,Rio de Janeiro,163700,163639,62189,101450,61.9962,162362,20516,12.636,163698,16496,10.0771,3136.06,162223,1699,1.0473,161889,129580,80.0425,163700,17070,30502,163661,3845
2024,RN,Rio Grande do Norte,36612,36592,11273,25319,69.1927,35994,5078,14.1079,36610,3375,9.2188,3176.08,36476,440,1.2063,36248,28794,79.4361,36612,4138,7103,36586,780
2024,RO,Rondônia,21716,21682,6220,15462,71.3126,21255,2573,12.1054,21716,1757,8.0908,3182.82,21629,174,0.8045,20684,16861,81.5171,21716,3012,2991,21668,416
2024,RR,Roraima,12089,12088,7315,4773,39.4854,12087,2031,16.8032,12089,1309,10.828,3116.75,10670,131,1.2277,11708,6454,55.1247,12089,2288,1488,12089,208
2024,RS,Rio Grande do Sul,111988,111942,38352,73590,65.7394,111756,14546,13.0159,111986,11122,9.9316,3147.16,111647,1259,1.1277,111116,93147,83.8286,111988,8725,24201,111950,2848
2024,SC,Santa Catarina,93786,93770,40321,53449,57.0001,93700,10358,11.0544,93784,8055,8.5889,3191.86,93498,992,1.061,93594,79035,84.4445,93786,7228,18414,93774,2303
2024,SE,Sergipe,27545,27542,14717,12825,46.5652,27387,3146,11.4872,27543,2355,8.5503,3198.96,27015,341,1.2623,27319,20973,76.7707,27545,3783,4883,27535,614
2024,SP,São Paulo,470883,470788,180070,290718,61.7514,470297,57883,12.3078,470877,47449,10.0767,3126.41,469264,4675,0.9962,466170,391777,84.0417,470880,37495,101149,470771,12280
2024,TO,Tocantins,21920,21918,8674,13244,60.4252,21876,2668,12.196,21920,1900,8.6679,3171.75,21784,187,0.8584,21833,17095,78.2989,21920,3373,3110,21919,419
