cid_codigo,cid_categoria,cid_descricao,grupo_morbidade,subgrupo,periodo_obstetrico,fonte_classificacao,e_morbidade
O00,O00,Gravidez ectopica,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O000,O00,Gravidez abdominal,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O001,O00,Gravidez tubaria,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O002,O00,Gravidez ovariana,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O008,O00,Outr form de gravidez ectopica,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O009,O00,Gravidez ectopica NE,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O01,O01,Mola hidatiforme,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O010,O01,Mola hidatiforme classica,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O011,O01,Mola hidatiforme incompleta ou parcial,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O019,O01,Mola hidatiforme NE,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O02,O02,Outr produtos anormais da concepcao,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O020,O02,Ovo claro e mola nao-hidatiforme,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O021,O02,Aborto retido,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O028,O02,Outr produtos anormais da concepcao espec,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O029,O02,Produto anormal da concepcao NE,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O03,O03,Aborto espontaneo,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O030,O03,Incompl complic inf trato genit org pelvicos,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O031,O03,Incompl complic hemorragia excessiva ou tard,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O032,O03,Incompleto complicado p/embolia,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O033,O03,Incompleto c/outr complic ou c/complic NE,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O034,O03,Incompleto s/complic,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
O035,O03,Compl ou NE complic inf trato gen org pelvic,desfecho_abortivo,gestacao_com_desfecho_abortivo,gestacao,DATASUS CID10.DBF + regra analitica phase8-v1,1
