codigo_cnes,nome_estabelecimento,razao_social,uf,municipio_fonte,codigo_tipo_unidade,tipo_unidade,codigo_natureza_juridica,natureza_juridica,tipo_gestao,codigo_ibge,municipio,codigo_uf,nome_uf,codigo_regiao,regiao,territory_match_status,territory_match_method,competencia_inicio,competencia_fim,competencias_observadas,versoes_atributos
0000027,CASA DE SAUDE SANTA HELENA,CASA DE SAUDE E MATERNIDADE SANTA HELENA LTDA,PE,CABO DE SANTO AGOSTINHO,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,M,2602902,Cabo de Santo Agostinho,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000035,HOSPITAL MENDO SAMPAIO,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,PE,CABO DE SANTO AGOSTINHO,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,M,2602902,Cabo de Santo Agostinho,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000094,MATERNIDADE PADRE GERALDO LEITE BASTOS,PREFEITURA MUNICIPAL DO CABO DE SANTO AGOSTINHO,PE,CABO DE SANTO AGOSTINHO,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,M,2602902,Cabo de Santo Agostinho,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000183,HOSPITAL SAMARITANO,SOCIEDADE HOSPITALAR SAMARITANO LTDA,PE,CABO DE SANTO AGOSTINHO,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,M,2602902,Cabo de Santo Agostinho,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000221,HOSPITAL SAO SEBASTIAO,CASA DE SAUDE E MATERNIDADE SAO SEBASTIAO LTDA,PE,CABO DE SANTO AGOSTINHO,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,M,2602902,Cabo de Santo Agostinho,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000396,HOSPITAL DAS CLINICAS,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES HC UFPE,PE,RECIFE,05,HOSPITAL GERAL,2011,HOSPITAL_PRIVADO,E,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000418,HOSPITAL AGAMENON MAGALHAES,SECRETARIA DE SAUDE,PE,RECIFE,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,E,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000426,HOSPITAL OTAVIO DE FREITAS,SECRETARIA DE SAUDE,PE,RECIFE,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,E,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000434,IMIP,INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA,PE,RECIFE,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,E,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000477,HOSPITAL OSWALDO CRUZ,HOSPITAL UNIVERSITARIO OSWALDO CRUZ,PE,RECIFE,05,HOSPITAL GERAL,1147,HOSPITAL_PÚBLICO,E,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000485,FUNDACAO ALTINO VENTURA,FUNDACAO ALTINO VENTURA,PE,RECIFE,07,HOSPITAL ESPECIALIZADO,3069,HOSPITAL_FILANTRÓPICO,D,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000566,HOSPITAL MARIA LUCINDA,FUNDACAO MANOEL DA SILVA ALMEIDA,PE,RECIFE,05,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,D,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000582,HOSPITAL DE CANCER DE PERNAMBUCO,SOCIEDADE PERNAMBUCANA DO COMBATE AO CANCER,PE,RECIFE,07,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,E,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000655,HOSPITAL DA RESTAURACAO,SECRETARIA DE SAUDE,PE,RECIFE,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,E,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000671,US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES,MUNICIPIO DO RECIFE,PE,RECIFE,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,M,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
0000701,US 165 MATERNIDADE BANDEIRA FILHO,MUNICIPIO DO RECIFE,PE,RECIFE,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,M,2611606,Recife,26,Pernambuco,2,Nordeste,matched,normalized_name,202401,202412,12,1
