codigo_uf,uf,nome_uf,codigo_regiao,regiao
11,RO,Rondônia,1,Norte
12,AC,Acre,1,Norte
13,AM,Amazonas,1,Norte
14,RR,Roraima,1,Norte
15,PA,Pará,1,Norte
16,AP,Amapá,1,Norte
17,TO,Tocantins,1,Norte
21,MA,Maranhão,2,Nordeste
22,PI,Piauí,2,Nordeste
23,CE,Ceará,2,Nordeste
24,RN,Rio Grande do Norte,2,Nordeste
25,PB,Paraíba,2,Nordeste
26,PE,Pernambuco,2,Nordeste
27,AL,Alagoas,2,Nordeste
28,SE,Sergipe,2,Nordeste
29,BA,Bahia,2,Nordeste
31,MG,Minas Gerais,3,Sudeste
32,ES,Espírito Santo,3,Sudeste
33,RJ,Rio de Janeiro,3,Sudeste
35,SP,São Paulo,3,Sudeste
41,PR,Paraná,4,Sul
42,SC,Santa Catarina,4,Sul
43,RS,Rio Grande do Sul,4,Sul
50,MS,Mato Grosso do Sul,5,Centro-Oeste
51,MT,Mato Grosso,5,Centro-Oeste
52,GO,Goiás,5,Centro-Oeste
53,DF,Distrito Federal,5,Centro-Oeste
